date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2018-06-14,1908,FIFA World Cup,Russia,Saudi Arabia,70.14,51.33,0.6615,0.12,0.2184,2.03,0.73,5,0,1.62,0.2,1.55,0.11,4.18,0.0
2018-06-15,1908,FIFA World Cup,Egypt,Uruguay,62.46,79.52,0.1845,0.5433,0.2723,0.82,1.61,0,1,0.42,1.94,0.65,1.94,0.0,1.05
2018-06-15,1908,FIFA World Cup,Morocco,Iran,72.33,65.57,0.4004,0.2667,0.333,1.13,0.86,0,1,0.86,0.72,0.57,0.36,0.0,1.05
2018-06-15,1908,FIFA World Cup,Portugal,Spain,83.47,91.3,0.2459,0.4809,0.2732,1.07,1.6,3,3,1.15,1.63,0.8,2.59,3.15,3.15
2018-06-16,1908,FIFA World Cup,France,Australia,87.18,61.69,0.7694,0.0746,0.156,2.61,0.69,2,1,1.38,1.03,1.24,0.39,2.1,1.05
2018-06-16,1908,FIFA World Cup,Argentina,Iceland,87.41,67.07,0.6091,0.1504,0.2406,1.87,0.8,1,1,1.84,1.05,3.12,0.84,1.05,1.05
2018-06-16,1908,FIFA World Cup,Peru,Denmark,72.16,74.75,0.2942,0.418,0.2878,1.15,1.42,0,1,1.51,1.02,1.98,0.81,0.0,1.05
2018-06-16,1908,FIFA World Cup,Croatia,Nigeria,80.38,70.08,0.5062,0.2038,0.29,1.47,0.83,2,0,1.5,0.57,1.23,1.12,2.08,0.0
2018-06-17,1908,FIFA World Cup,Costa Rica,Serbia,64.9,73.82,0.2312,0.489,0.2798,0.98,1.55,0,1,0.89,0.42,1.22,1.76,0.0,1.05
2018-06-17,1908,FIFA World Cup,Germany,Mexico,90.61,75.78,0.6276,0.1537,0.2187,2.13,0.95,0,1,1.43,1.12,3.14,1.05,0.0,1.05
2018-06-17,1908,FIFA World Cup,Brazil,Switzerland,92.82,78.14,0.5884,0.1643,0.2473,1.83,0.84,,,,,,,,
2018-06-18,1908,FIFA World Cup,Sweden,South Korea,73.87,60.14,0.5443,0.189,0.2667,1.66,0.87,,,,,,,,
2018-06-18,1908,FIFA World Cup,Belgium,Panama,85.41,56.47,0.7679,0.0668,0.1653,2.4,0.56,,,,,,,,
2018-06-18,1908,FIFA World Cup,Tunisia,England,59.59,83.73,0.0944,0.6874,0.2182,0.56,1.95,,,,,,,,
2018-06-19,1908,FIFA World Cup,Colombia,Japan,80.53,71.43,0.4844,0.2316,0.284,1.51,0.96,,,,,,,,
2018-06-19,1908,FIFA World Cup,Poland,Senegal,73.28,65.97,0.4546,0.2584,0.287,1.47,1.04,,,,,,,,
2018-06-19,1908,FIFA World Cup,Russia,Egypt,72.33,61.37,0.5642,0.1644,0.2714,1.61,0.74,,,,,,,,
2018-06-20,1908,FIFA World Cup,Portugal,Morocco,84.14,71.13,0.5409,0.1771,0.282,1.53,0.75,,,,,,,,
2018-06-20,1908,FIFA World Cup,Uruguay,Saudi Arabia,80.04,48.83,0.7529,0.0724,0.1747,2.31,0.57,,,,,,,,
2018-06-20,1908,FIFA World Cup,Iran,Spain,66.4,91.5,0.0655,0.7572,0.1774,0.49,2.23,,,,,,,,
2018-06-21,1908,FIFA World Cup,Denmark,Australia,74.38,62.53,0.5394,0.2052,0.2554,1.78,1.0,,,,,,,,
2018-06-21,1908,FIFA World Cup,France,Peru,86.53,72.2,0.5838,0.1715,0.2447,1.86,0.9,,,,,,,,
2018-06-21,1908,FIFA World Cup,Argentina,Croatia,87.15,81.11,0.4034,0.288,0.3086,1.26,1.02,,,,,,,,
2018-06-22,1908,FIFA World Cup,Brazil,Costa Rica,92.82,64.6,0.794,0.0469,0.1591,2.31,0.39,,,,,,,,
2018-06-22,1908,FIFA World Cup,Nigeria,Iceland,69.03,67.61,0.3433,0.3592,0.2975,1.22,1.25,,,,,,,,
2018-06-22,1908,FIFA World Cup,Serbia,Switzerland,73.69,78.14,0.3072,0.4059,0.2869,1.19,1.41,,,,,,,,
2018-06-23,1908,FIFA World Cup,Belgium,Tunisia,85.41,59.59,0.7495,0.0804,0.1702,2.44,0.66,,,,,,,,
2018-06-23,1908,FIFA World Cup,South Korea,Mexico,60.14,76.67,0.1939,0.5413,0.2648,0.9,1.68,,,,,,,,
2018-06-23,1908,FIFA World Cup,Germany,Sweden,89.87,73.87,0.5958,0.1718,0.2323,2.0,0.97,,,,,,,,
2018-06-24,1908,FIFA World Cup,England,Panama,83.73,56.47,0.7046,0.0793,0.2162,1.91,0.47,,,,,,,,
2018-06-24,1908,FIFA World Cup,Japan,Senegal,71.43,65.97,0.3945,0.3065,0.2989,1.31,1.12,,,,,,,,
2018-06-24,1908,FIFA World Cup,Poland,Colombia,73.28,80.53,0.2811,0.4305,0.2883,1.1,1.43,,,,,,,,
2018-06-25,1908,FIFA World Cup,Uruguay,Russia,80.04,72.33,0.3537,0.3513,0.295,1.26,1.25,,,,,,,,
